Filename;CT;T
hl 2017-06-14 18-03-25-48.png;;
hl 2017-06-14 18-03-26-48.png;;
hl 2017-06-14 18-03-27-48.png;;
hl 2017-06-14 18-03-28-48.png;;
hl 2017-06-14 18-03-29-48.png;1;
hl 2017-06-14 18-03-32-48.png;;1
hl 2017-06-14 18-03-33-48.png;;1
hl 2017-06-14 18-03-34-48.png;;1
hl 2017-06-14 18-03-35-48.png;;1
hl 2017-06-14 18-03-36-48.png;;
hl 2017-06-14 18-03-37-48.png;;
hl 2017-06-14 18-03-38-48.png;;
hl 2017-06-14 18-03-39-48.png;;
hl 2017-06-14 18-03-40-48.png;;
hl 2017-06-14 18-03-41-48.png;;
hl 2017-06-14 18-03-42-48.png;;
hl 2017-06-14 18-03-43-48.png;;
hl 2017-06-14 18-03-44-48.png;;
hl 2017-06-14 18-03-45-48.png;;
hl 2017-06-14 18-03-46-48.png;;
hl 2017-06-14 18-03-47-48.png;;
hl 2017-06-14 18-03-48-48.png;;
hl 2017-06-14 18-03-49-48.png;;1
hl 2017-06-14 18-03-50-48.png;;
hl 2017-06-14 18-03-51-48.png;;
hl 2017-06-14 18-03-52-48.png;;
hl 2017-06-14 18-03-53-48.png;;1
hl 2017-06-14 18-03-54-48.png;;
hl 2017-06-14 18-03-55-48.png;1;
hl 2017-06-14 18-03-56-48.png;1;
hl 2017-06-14 18-03-57-48.png;1;
hl 2017-06-14 18-03-58-48.png;;
hl 2017-06-14 18-03-59-48.png;;
hl 2017-06-14 18-04-00-48.png;;
hl 2017-06-14 18-04-01-48.png;;
hl 2017-06-14 18-04-02-48.png;1;
hl 2017-06-14 18-04-03-48.png;;
hl 2017-06-14 18-04-04-48.png;1;
hl 2017-06-14 18-04-05-48.png;1;
hl 2017-06-14 18-04-06-48.png;1;1
hl 2017-06-14 18-04-07-48.png;1;1
hl 2017-06-14 18-04-08-48.png;1;
hl 2017-06-14 18-04-09-48.png;1;1
hl 2017-06-14 18-04-10-48.png;1;
hl 2017-06-14 18-04-11-48.png;1;
hl 2017-06-14 18-04-12-48.png;1;
hl 2017-06-14 18-04-13-48.png;1;
hl 2017-06-14 18-04-14-48.png;1;
hl 2017-06-14 18-04-15-48.png;;1
hl 2017-06-14 18-04-16-48.png;;1
hl 2017-06-14 18-04-17-48.png;;
hl 2017-06-14 18-04-18-48.png;;
hl 2017-06-14 18-04-19-48.png;1;1
hl 2017-06-14 18-04-20-48.png;;1
hl 2017-06-14 18-04-21-48.png;1;1
hl 2017-06-14 18-04-22-48.png;1;1
hl 2017-06-14 18-04-23-48.png;1;1
hl 2017-06-14 18-04-24-48.png;1;1
hl 2017-06-14 18-04-25-48.png;;
hl 2017-06-14 18-04-26-48.png;;
hl 2017-06-14 18-04-27-48.png;;
hl 2017-06-14 18-04-28-48.png;;
hl 2017-06-14 18-04-29-48.png;;1
hl 2017-06-14 18-04-30-48.png;;1
hl 2017-06-14 18-04-31-48.png;;1
hl 2017-06-14 18-04-32-48.png;;
hl 2017-06-14 18-04-33-48.png;;
hl 2017-06-14 18-04-34-48.png;;
hl 2017-06-14 18-04-35-48.png;;
hl 2017-06-14 18-04-36-48.png;;
hl 2017-06-14 18-04-37-48.png;;
hl 2017-06-14 18-04-38-48.png;1;
hl 2017-06-14 18-04-39-48.png;1;
hl 2017-06-14 18-04-40-48.png;1;1
hl 2017-06-14 18-04-41-48.png;1;
hl 2017-06-14 18-04-42-48.png;;
hl 2017-06-14 18-04-43-48.png;;
hl 2017-06-14 18-04-44-48.png;;
hl 2017-06-14 18-04-45-48.png;;1
hl 2017-06-14 18-04-46-48.png;1;1
hl 2017-06-14 18-04-47-48.png;;1
hl 2017-06-14 18-04-48-48.png;1;1
hl 2017-06-14 18-04-49-48.png;1;1
hl 2017-06-14 18-04-50-48.png;1;1
hl 2017-06-14 18-04-51-48.png;;1
hl 2017-06-14 18-04-52-48.png;1;1
hl 2017-06-14 18-04-53-48.png;1;1
hl 2017-06-14 18-04-54-48.png;;1
hl 2017-06-14 18-04-55-48.png;;1
hl 2017-06-14 18-04-56-48.png;;
hl 2017-06-14 18-04-57-48.png;;
hl 2017-06-14 18-04-58-48.png;;
hl 2017-06-14 18-04-59-48.png;;
hl 2017-06-14 18-05-00-48.png;;
hl 2017-06-14 18-05-01-48.png;;1
hl 2017-06-14 18-05-02-48.png;;1
hl 2017-06-14 18-05-03-48.png;1;
hl 2017-06-14 18-05-04-48.png;1;1
hl 2017-06-14 18-05-05-48.png;1;
hl 2017-06-14 18-05-06-48.png;;1
hl 2017-06-14 18-05-07-48.png;;1
hl 2017-06-14 18-05-08-48.png;;1
hl 2017-06-14 18-05-09-48.png;;1
hl 2017-06-14 18-05-10-48.png;;
hl 2017-06-14 18-05-11-48.png;;1
hl 2017-06-14 18-05-12-48.png;;1
hl 2017-06-14 18-05-13-48.png;;1
hl 2017-06-14 18-05-14-48.png;;1
hl 2017-06-14 18-05-15-48.png;;
hl 2017-06-14 18-05-16-48.png;;1
hl 2017-06-14 18-05-17-48.png;1;1
hl 2017-06-14 18-05-18-48.png;;1
hl 2017-06-14 18-05-19-48.png;1;1
hl 2017-06-14 18-05-20-48.png;1;1
hl 2017-06-14 18-05-21-48.png;1;
hl 2017-06-14 18-05-22-48.png;;
hl 2017-06-14 18-05-23-48.png;;
hl 2017-06-14 18-05-24-48.png;;
hl 2017-06-14 18-05-25-48.png;1;
hl 2017-06-14 18-05-26-48.png;;
hl 2017-06-14 18-05-27-48.png;1;
hl 2017-06-14 18-05-28-48.png;1;
hl 2017-06-14 18-05-29-48.png;1;
hl 2017-06-14 18-05-30-48.png;1;
hl 2017-06-14 18-05-31-48.png;1;
hl 2017-06-14 18-05-32-48.png;1;
hl 2017-06-14 18-05-33-48.png;1;
hl 2017-06-14 18-05-34-48.png;1;
hl 2017-06-14 18-05-35-48.png;1;1
hl 2017-06-14 18-05-36-48.png;1;1
hl 2017-06-14 18-05-37-48.png;1;1
hl 2017-06-14 18-05-38-48.png;1;1
hl 2017-06-14 18-05-39-48.png;1;1
hl 2017-06-14 18-05-40-48.png;;
