Filename;CT;T;P
hl 2017-06-14 17-55-54-48.png;;;0
hl 2017-06-14 17-55-55-48.png;;;0
hl 2017-06-14 17-55-56-48.png;;;0
hl 2017-06-14 17-55-57-48.png;;;0
hl 2017-06-14 17-55-58-48.png;;;1
hl 2017-06-14 17-55-59-48.png;;;0
hl 2017-06-14 17-56-00-48.png;;;0
hl 2017-06-14 17-56-01-48.png;;;0
hl 2017-06-14 17-56-02-48.png;;;0
hl 2017-06-14 17-56-03-48.png;;;0
hl 2017-06-14 17-56-04-48.png;;;0
hl 2017-06-14 17-56-05-48.png;;;0
hl 2017-06-14 17-56-06-48.png;;;0
hl 2017-06-14 17-56-07-48.png;;;0
hl 2017-06-14 17-56-08-48.png;;;0
hl 2017-06-14 17-56-09-48.png;;;0
hl 2017-06-14 17-56-10-48.png;;;0
hl 2017-06-14 17-56-11-48.png;;;0
hl 2017-06-14 17-56-12-48.png;;;0
hl 2017-06-14 17-56-13-48.png;;;0
hl 2017-06-14 17-56-14-48.png;;;0
hl 2017-06-14 17-56-15-48.png;;;0
hl 2017-06-14 17-56-16-48.png;;;0
hl 2017-06-14 17-56-17-48.png;;;0
hl 2017-06-14 17-56-18-48.png;;;0
hl 2017-06-14 17-56-19-48.png;;;0
hl 2017-06-14 17-56-20-48.png;;;0
hl 2017-06-14 17-56-21-48.png;;;0
hl 2017-06-14 17-56-22-48.png;;;0
hl 2017-06-14 17-56-23-48.png;;;0
hl 2017-06-14 17-56-24-48.png;;;0
hl 2017-06-14 17-56-25-48.png;;;0
hl 2017-06-14 17-56-26-48.png;;;0
hl 2017-06-14 17-56-27-48.png;;;0
hl 2017-06-14 17-56-28-48.png;;;0
hl 2017-06-14 17-56-29-48.png;;;0
hl 2017-06-14 17-56-30-48.png;;;0
hl 2017-06-14 17-56-31-48.png;;;0
hl 2017-06-14 17-56-32-48.png;;;1
hl 2017-06-14 17-56-35-48.png;;;1
hl 2017-06-14 17-56-37-48.png;;;1
hl 2017-06-14 17-56-38-48.png;;;1
hl 2017-06-14 17-56-39-48.png;;;0
hl 2017-06-14 17-56-40-48.png;;;0
hl 2017-06-14 17-56-41-48.png;;;0
hl 2017-06-14 17-56-42-48.png;;;0
hl 2017-06-14 17-56-43-48.png;;;0
hl 2017-06-14 17-56-44-48.png;;;0
hl 2017-06-14 17-56-45-48.png;;;0
hl 2017-06-14 17-56-46-48.png;;;0
hl 2017-06-14 17-56-47-48.png;;;0
hl 2017-06-14 17-56-48-48.png;;;0
hl 2017-06-14 17-56-49-48.png;;;0
hl 2017-06-14 17-56-50-48.png;;;0
hl 2017-06-14 17-56-51-48.png;;;0
hl 2017-06-14 17-56-52-48.png;;;0
hl 2017-06-14 17-56-53-48.png;;;1
hl 2017-06-14 17-56-54-48.png;;;1
hl 2017-06-14 17-56-55-48.png;;;1
hl 2017-06-14 17-56-56-48.png;;;0
hl 2017-06-14 17-56-57-48.png;;;0
hl 2017-06-14 17-56-58-48.png;;;0
hl 2017-06-14 17-56-59-48.png;;;0
hl 2017-06-14 17-57-00-48.png;;;0
hl 2017-06-14 17-57-01-48.png;;;0
hl 2017-06-14 17-57-02-48.png;;;0
hl 2017-06-14 17-57-03-48.png;;;0
hl 2017-06-14 17-57-04-48.png;;;0
hl 2017-06-14 17-57-05-48.png;;;0
hl 2017-06-14 17-57-06-48.png;;;0
hl 2017-06-14 17-57-07-48.png;;;0
hl 2017-06-14 17-57-08-48.png;;;0
hl 2017-06-14 17-57-09-48.png;;;0
hl 2017-06-14 17-57-10-48.png;;;0
hl 2017-06-14 17-57-11-48.png;;;0
hl 2017-06-14 17-57-12-48.png;;;0
hl 2017-06-14 17-57-13-48.png;;;0
hl 2017-06-14 17-57-14-48.png;;;0
hl 2017-06-14 17-57-15-48.png;;;0
hl 2017-06-14 17-57-16-48.png;;;0
hl 2017-06-14 17-57-17-48.png;;;0
hl 2017-06-14 17-57-18-48.png;;;0
hl 2017-06-14 17-57-19-48.png;;;0
hl 2017-06-14 17-57-22-48.png;;;0
hl 2017-06-14 17-57-23-48.png;;;0
hl 2017-06-14 17-57-24-48.png;;;0
hl 2017-06-14 17-57-25-48.png;;;0
hl 2017-06-14 17-57-26-48.png;;;0
hl 2017-06-14 17-57-27-48.png;;;0
hl 2017-06-14 17-57-28-48.png;;;0
hl 2017-06-14 17-57-29-48.png;;;0
hl 2017-06-14 17-57-30-48.png;;;0
hl 2017-06-14 17-57-31-48.png;;;0
hl 2017-06-14 17-57-32-48.png;;;0
hl 2017-06-14 17-57-33-48.png;;;0
hl 2017-06-14 17-57-34-48.png;;;0
hl 2017-06-14 17-57-35-48.png;;;0
hl 2017-06-14 17-57-36-48.png;;;0
hl 2017-06-14 17-57-37-48.png;;;0
hl 2017-06-14 17-57-38-48.png;;;0
hl 2017-06-14 17-57-39-48.png;;;0
hl 2017-06-14 17-57-40-48.png;;;0
hl 2017-06-14 17-57-41-48.png;;;0
hl 2017-06-14 17-57-42-48.png;;;0
hl 2017-06-14 17-57-43-48.png;;;0
hl 2017-06-14 17-57-44-48.png;;;0
hl 2017-06-14 17-57-45-48.png;;;0
hl 2017-06-14 17-57-46-48.png;;;0
hl 2017-06-14 17-57-47-48.png;;;0
hl 2017-06-14 17-57-48-48.png;;;0
hl 2017-06-14 17-57-49-48.png;;;0
hl 2017-06-14 17-57-50-48.png;;;0
